descripcion,palabras,verbos,sustantivos,adjetivos,diversidad,perplexity,tiene_verbo,tiene_root,dependencias
Crea una carta del Tarot al puntuar el palo de picas dan +50 fichas si la mano jugada contiene un trío,21,4,5,2,1.0,87.29722990121931,True,True,"Counter({'det': 4, 'obj': 4, 'case': 3, 'nsubj': 2, 'nmod': 2, 'advcl': 2, 'ROOT': 1, 'mark': 1, 'amod': 1, 'ccomp': 1})"
+5 de multiplicador si la mano de póker más jugada,10,0,4,1,0.9,104.26193857165093,False,True,"Counter({'ROOT': 2, 'case': 2, 'nmod': 2, 'mark': 1, 'det': 1, 'advmod': 1, 'amod': 1})"
Gana 2 por cada carta restante en la mano jugada activa la habilidad del comodín del extremo izquierdo,18,1,6,3,0.8888888888888888,127.88525679565504,True,True,"Counter({'case': 4, 'amod': 4, 'det': 3, 'nmod': 3, 'ROOT': 1, 'nummod': 1, 'obl': 1, 'obj': 1})"
Evita la muerte si las fichas obtenidas son al menos un 25 de lo requerido se autodestruye,17,2,2,2,1.0,187.53644168445288,True,True,"Counter({'det': 4, 'ROOT': 2, 'nsubj': 2, 'case': 2, 'mark': 1, 'amod': 1, 'cop': 1, 'fixed': 1, 'obl': 1, 'compound': 1, 'expl:pass': 1})"
Añade 1 de mano,4,1,1,0,1.0,158.86756799984914,True,True,"Counter({'ROOT': 1, 'nsubj': 1, 'case': 1, 'compound': 1})"
+50 fichas si la mano son picas o tréboles,9,1,2,2,1.0,131.38008516169697,True,True,"Counter({'nsubj': 2, 'ROOT': 1, 'mark': 1, 'det': 1, 'cop': 1, 'ccomp': 1, 'cc': 1, 'conj': 1})"
+4 Multiplicador,2,0,0,1,1.0,180.18881421638,False,True,"Counter({'ROOT': 1, 'flat': 1})"
Multiplica por 3 si todas las habilidades de las cartas jugadas durante las próximas 10 manos,16,0,4,2,0.875,144.9759779235208,False,True,"Counter({'det': 4, 'case': 3, 'nummod': 2, 'nmod': 2, 'amod': 2, 'ROOT': 1, 'mark': 1, 'obl': 1})"
Reactiva todas las cartas en la mano jugada contiene un color,11,1,3,2,1.0,74.0939938112298,True,True,"Counter({'det': 4, 'nsubj': 2, 'case': 1, 'obl': 1, 'amod': 1, 'ROOT': 1, 'obj': 1})"
Hay una probabilidad de 1 entre 4 de que las cartas de figura que anote puntos y una carta del Tarot si tu mano de póker es una Mano de,30,1,8,0,0.7333333333333333,125.64971990428987,True,True,"Counter({'det': 5, 'case': 5, 'mark': 3, 'nsubj': 3, 'nmod': 3, 'ROOT': 2, 'obj': 2, 'acl': 2, 'nummod': 1, 'compound': 1, 'cc': 1, 'conj': 1, 'cop': 1})"
+250 fichas 2 tamaño de mano por ronda,8,0,4,0,1.0,169.68503653334054,False,True,"Counter({'case': 2, 'nmod': 2, 'nsubj': 1, 'ROOT': 1, 'nummod': 1, 'obj': 1})"
Añade 1 de mano,4,1,1,0,1.0,158.86756799984914,True,True,"Counter({'ROOT': 1, 'nsubj': 1, 'case': 1, 'compound': 1})"
Las cartas jugadas con el palo cambia al final de la baraja en tu mazo,15,1,5,1,1.0,74.79567278476277,True,True,"Counter({'det': 4, 'case': 4, 'nmod': 2, 'obl': 2, 'nsubj': 1, 'amod': 1, 'ROOT': 1})"
Las cartas Joker Tarot Planeta y Espectral pueden aparecer varias veces,11,1,2,0,1.0,136.83352634676706,True,True,"Counter({'det': 2, 'flat': 2, 'nsubj': 1, 'appos': 1, 'cc': 1, 'conj': 1, 'aux': 1, 'ROOT': 1, 'obl': 1})"
Las cartas jugadas durante las próximas 10 manos,8,0,2,2,0.875,104.04051758439724,False,True,"Counter({'det': 2, 'amod': 2, 'ROOT': 1, 'case': 1, 'nummod': 1, 'nmod': 1})"
X3 Mult si la mano jugada contiene un par,9,1,2,1,1.0,69.43142189081577,True,True,"Counter({'nsubj': 2, 'det': 2, 'flat': 1, 'mark': 1, 'amod': 1, 'ROOT': 1, 'obj': 1})"
Si la mano de póker en esta ronda,8,0,3,0,1.0,95.71258477232247,False,True,"Counter({'det': 2, 'case': 2, 'nmod': 2, 'mark': 1, 'ROOT': 1})"
Si la primera carta jugada al anotar,7,1,1,2,1.0,120.2211530775024,True,True,"Counter({'amod': 2, 'mark': 1, 'det': 1, 'ROOT': 1, 'case': 1, 'acl': 1})"
Este comodín gana +3 fichas por cada carta por debajo de el tamaño inicial de la ronda tiene solo 1 carta agrega una copia permanente al mazo y se pierden,30,4,8,2,0.9,125.75077540956126,True,True,"Counter({'det': 6, 'obj': 4, 'case': 4, 'obl': 2, 'fixed': 2, 'amod': 2, 'nmod': 2, 'conj': 2, 'nsubj': 1, 'ROOT': 1, 'advcl': 1, 'compound': 1, 'cc': 1, 'expl:pv': 1})"
Este comodín gana +3 fichas por cada carta restante en la mano jugada contiene un color,16,2,5,2,1.0,65.867018329496,True,True,"Counter({'det': 5, 'obj': 2, 'case': 2, 'amod': 2, 'nsubj': 1, 'ROOT': 1, 'obl': 1, 'nmod': 1, 'ccomp': 1})"
Multiplicador de 2 rondas vende esta carta para duplicar un comodín aleatorio,12,2,3,1,1.0,153.86803537423717,True,True,"Counter({'det': 2, 'obj': 2, 'nsubj': 1, 'case': 1, 'nummod': 1, 'nmod': 1, 'ROOT': 1, 'mark': 1, 'advcl': 1, 'amod': 1})"
X3 Mult 1 entre 4 de que cada 8 jugadas generen una carta de figura jugada otorga un multiplicador de x 2 al anotar,24,3,4,1,0.9166666666666666,141.83632796301384,True,True,"Counter({'nummod': 4, 'case': 4, 'det': 3, 'nsubj': 2, 'mark': 2, 'obj': 2, 'nmod': 2, 'flat': 1, 'acl': 1, 'amod': 1, 'ROOT': 1, 'advcl': 1})"
La primera carta jugada al anotar,6,1,1,2,1.0,150.39750719773778,True,True,"Counter({'amod': 2, 'det': 1, 'ROOT': 1, 'case': 1, 'acl': 1})"
+3 descartes por ronda jugada,5,0,2,2,1.0,182.24899525528707,False,True,"Counter({'det': 1, 'ROOT': 1, 'case': 1, 'nmod': 1, 'amod': 1})"
+100 fichas si la mano jugada contiene una escalera,9,2,3,1,1.0,54.53298455756562,True,True,"Counter({'nsubj': 2, 'det': 2, 'ROOT': 1, 'mark': 1, 'amod': 1, 'advcl': 1, 'obj': 1})"
Este Joker gana X0.25 Mult cada vez que se usa una carta del Tarot al abrir cualquier paquete potenciador,19,3,3,1,1.0,120.72077351850012,True,True,"Counter({'det': 4, 'obj': 3, 'nsubj': 2, 'obl': 2, 'case': 2, 'ROOT': 1, 'flat': 1, 'expl:pass': 1, 'acl': 1, 'nmod': 1, 'advcl': 1})"
Gana 5 si se juega una mano con 4 o menos,11,2,1,0,1.0,157.13080765662062,True,True,"Counter({'nummod': 2, 'ROOT': 1, 'mark': 1, 'expl:pass': 1, 'advcl': 1, 'det': 1, 'nsubj': 1, 'case': 1, 'cc': 1, 'conj': 1})"
Multiplica por 3 si todas las cartas jugadas en la mano jugada contiene una escalera,15,1,4,2,1.0,81.00986099569714,True,True,"Counter({'det': 4, 'case': 2, 'amod': 2, 'ROOT': 1, 'nummod': 1, 'mark': 1, 'nsubj': 1, 'nmod': 1, 'advcl': 1, 'obj': 1})"
X3 Mult 1 entre 2 de que las cartas de figura que anote puntos y una carta del Tarot al abrir cualquier paquete potenciador,24,2,5,1,0.9166666666666666,146.77657598391738,True,True,"Counter({'case': 4, 'det': 3, 'obj': 3, 'ROOT': 2, 'flat': 2, 'nummod': 2, 'nmod': 2, 'acl': 2, 'fixed': 1, 'nsubj': 1, 'cc': 1, 'conj': 1})"
Gana +15 fichas si la mano jugada contiene un par,10,2,3,1,1.0,60.95427238706313,True,True,"Counter({'nsubj': 2, 'det': 2, 'flat': 1, 'ROOT': 1, 'mark': 1, 'amod': 1, 'ccomp': 1, 'obj': 1})"
