descripcion,palabras,verbos,sustantivos,adjetivos,diversidad,perplexity,tiene_verbo,tiene_root,dependencias
Retrigger all cards played for the next 10 hands,9,2,2,1,1.0,126.86316287863066,True,True,"Counter({'det': 2, 'ROOT': 1, 'dobj': 1, 'acl': 1, 'prep': 1, 'amod': 1, 'nummod': 1, 'pobj': 1})"
Each played rank of suit gives X2 Mult when scored,10,3,2,0,1.0,97.71759657464126,True,True,"Counter({'det': 1, 'amod': 1, 'nsubj': 1, 'prep': 1, 'pobj': 1, 'ROOT': 1, 'compound': 1, 'dobj': 1, 'advmod': 1, 'advcl': 1})"
+2 hand size 1 hand per round,7,0,4,1,0.8571428571428571,141.75626377220001,False,True,"Counter({'amod': 1, 'compound': 1, 'ROOT': 1, 'nummod': 1, 'npadvmod': 1, 'prep': 1, 'pobj': 1})"
Joker Tarot Planet and Spectral cards may appear multiple times,10,1,2,2,1.0,156.60677534545758,True,True,"Counter({'compound': 2, 'amod': 2, 'nsubj': 1, 'cc': 1, 'conj': 1, 'aux': 1, 'ROOT': 1, 'dobj': 1})"
+30 Chips for each remaining discard,6,1,1,0,1.0,151.1892084391895,True,True,"Counter({'compound': 1, 'ROOT': 1, 'prep': 1, 'det': 1, 'amod': 1, 'pobj': 1})"
+3 Mult for each Joker card,6,0,1,0,1.0,151.33044126116138,False,True,"Counter({'compound': 2, 'ROOT': 1, 'prep': 1, 'det': 1, 'pobj': 1})"
+20 Mult 4 Mult per round played,7,1,2,0,0.8571428571428571,143.57679474711992,True,True,"Counter({'nmod': 2, 'nummod': 1, 'nsubj': 1, 'prep': 1, 'pobj': 1, 'ROOT': 1})"
This Joker gains +3 Chips per discarded suit card suit changes every round,13,3,4,0,0.9230769230769231,90.7754975977286,True,True,"Counter({'compound': 3, 'det': 2, 'nsubj': 2, 'ROOT': 1, 'prep': 1, 'amod': 1, 'pobj': 1, 'ccomp': 1, 'dobj': 1})"
+12 Mult if played hand contains a Flush,8,2,2,0,1.0,56.992606270324764,True,True,"Counter({'nsubj': 2, 'compound': 1, 'mark': 1, 'amod': 1, 'ROOT': 1, 'det': 1, 'dobj': 1})"
+2 Chips for each remaining card in deck,8,1,4,0,1.0,119.47672937127027,True,True,"Counter({'prep': 2, 'pobj': 2, 'compound': 1, 'ROOT': 1, 'det': 1, 'amod': 1})"
This Joker gains X0.5 Mult for every 5 you have,10,2,1,0,1.0,81.15452600889581,True,True,"Counter({'det': 2, 'nsubj': 2, 'ccomp': 1, 'compound': 1, 'dobj': 1, 'prep': 1, 'pobj': 1, 'ROOT': 1})"
All cards are considered face cards,6,1,3,0,0.8333333333333334,140.48275540140125,True,True,"Counter({'det': 1, 'nsubjpass': 1, 'auxpass': 1, 'ROOT': 1, 'compound': 1, 'oprd': 1})"
