descripcion,palabras,verbos,sustantivos,adjetivos,diversidad,perplexity,tiene_verbo,tiene_root,dependencias
Multiplicador de venta al azar,5,0,2,0,1.0,100.51225558935653,False,True,"Counter({'case': 2, 'ROOT': 1, 'flat': 1, 'nmod': 1})"
Si la ronda,3,0,1,0,1.0,43.95637667171283,False,True,"Counter({'mark': 1, 'det': 1, 'ROOT': 1})"
Los comodines poco comunes,4,0,1,1,1.0,171.82350299834542,False,True,"Counter({'det': 1, 'ROOT': 1, 'advmod': 1, 'amod': 1})"
Cada carta de multiplicador de póker más cartas de Joker incluida,11,1,4,0,0.8181818181818182,90.98244548350384,True,True,"Counter({'case': 3, 'nmod': 3, 'det': 1, 'nsubj': 1, 'advmod': 1, 'amod': 1, 'ROOT': 1})"
1 tamaño inicial de corazones den un par,8,1,3,1,1.0,167.6248277957398,True,True,"Counter({'nummod': 1, 'nsubj': 1, 'amod': 1, 'case': 1, 'nmod': 1, 'ROOT': 1, 'det': 1, 'obj': 1})"
Llegue a la derecha,4,1,1,0,1.0,165.26619592919414,True,True,"Counter({'ROOT': 1, 'case': 1, 'det': 1, 'nmod': 1})"
Las cartas jugadas con el primer descarte cada vez que se selecciona la mano a tu mano jugada otorga X2 Multi cuando ciega grande obtiene +2 fichas si la mano,30,4,7,5,0.9,75.09186525652821,True,True,"Counter({'det': 6, 'obl': 5, 'nsubj': 4, 'amod': 4, 'case': 2, 'mark': 2, 'obj': 2, 'expl:pass': 1, 'acl': 1, 'ROOT': 1, 'flat': 1, 'conj': 1})"
Este comodín del palo cambia en otorgar 1 entre 2 jugado otorga X1.5,13,3,2,2,1.0,112.61898686404876,True,True,"Counter({'obj': 3, 'case': 2, 'advcl': 2, 'det': 1, 'nsubj': 1, 'nmod': 1, 'ROOT': 1, 'mark': 1, 'nummod': 1})"
Las cartas con el efecto de multiplicador al anotar,9,1,3,0,1.0,51.25461454567613,True,True,"Counter({'case': 3, 'det': 2, 'ROOT': 2, 'nmod': 2})"
Multiplicador,1,0,0,0,1.0,81.56020271349664,False,True,Counter({'ROOT': 1})
Multiplicador si la mano jugada contiene dos pares,8,1,2,1,1.0,39.94870381147508,True,True,"Counter({'ROOT': 1, 'mark': 1, 'det': 1, 'nsubj': 1, 'amod': 1, 'advcl': 1, 'nummod': 1, 'obj': 1})"
+0 23 Multiplicador de la carta restante,7,0,1,1,1.0,126.13451969209692,False,True,"Counter({'ROOT': 1, 'nummod': 1, 'flat': 1, 'case': 1, 'det': 1, 'nmod': 1, 'amod': 1})"
Reactiva todas las cartas jugadas con huecos de multiplicador al mazo completo,12,0,4,3,1.0,75.15121385329111,False,True,"Counter({'case': 3, 'nmod': 3, 'det': 2, 'amod': 2, 'ROOT': 1, 'nsubj': 1})"
Multiplicador 4 da +10 Multiplicador 4 al puntuar el palo de Joker gana +8 Multiplicador 4 2 rondas vende esta carta de 2 3,24,4,3,0,0.75,126.17838499546087,True,True,"Counter({'obj': 4, 'flat': 3, 'nummod': 3, 'case': 3, 'advcl': 3, 'nmod': 3, 'det': 2, 'nsubj': 1, 'ROOT': 1, 'compound': 1})"
+4 Multiplicador X4 cada carta por mano jugada contiene una carta del comodín,13,2,4,1,0.9230769230769231,89.40523454468493,True,True,"Counter({'nsubj': 2, 'flat': 2, 'det': 2, 'case': 2, 'nmod': 2, 'amod': 1, 'ROOT': 1, 'obj': 1})"
1 cuando quedan 0 descartes,5,1,1,0,1.0,173.21514192430868,True,True,"Counter({'ROOT': 1, 'mark': 1, 'advcl': 1, 'nummod': 1, 'nsubj': 1})"
Las cartas jugadas ganan para la mano de mano jugada sin jugar tu mazo y se ha jugado la tienda son al azar,23,3,6,2,0.9130434782608695,92.7090699358504,True,True,"Counter({'det': 4, 'case': 3, 'nsubj': 2, 'amod': 2, 'advcl': 2, 'obj': 2, 'ROOT': 1, 'obl': 1, 'nmod': 1, 'mark': 1, 'cc': 1, 'expl:pass': 1, 'aux': 1, 'conj': 1})"
+1 Mult,2,0,1,0,1.0,114.37673455519881,False,True,"Counter({'ROOT': 1, 'flat': 1})"
Este comodín gana +8 Multiplicador de la mano de multiplicador al final de 2 al anotar,16,2,4,0,0.75,44.89691615896787,True,True,"Counter({'case': 5, 'nmod': 3, 'det': 2, 'nsubj': 1, 'ROOT': 1, 'obj': 1, 'flat': 1, 'nummod': 1, 'advcl': 1})"
Copia la suerte se reduce en cada carta de todos los descartes al anotar,14,2,3,0,1.0,103.00233439187299,True,True,"Counter({'det': 4, 'case': 3, 'nsubj': 1, 'appos': 1, 'expl:pv': 1, 'ROOT': 1, 'obl': 1, 'nmod': 1, 'advcl': 1})"
Todas las escaleras con el mismo tiempo,7,0,2,0,1.0,119.11155398564702,False,True,"Counter({'det': 4, 'ROOT': 1, 'case': 1, 'nmod': 1})"
Las cartas jugadas con categoría impar dan +3 manos jugadas durante las reinas jugados otorgan X2 Multi cuando se consideran figuras,21,4,5,3,0.9047619047619048,117.4438926674444,True,True,"Counter({'amod': 4, 'det': 2, 'nsubj': 2, 'case': 2, 'obl': 2, 'obj': 2, 'advcl': 2, 'ROOT': 1, 'nummod': 1, 'flat': 1, 'mark': 1, 'expl:pass': 1})"
Todas las escaleras de 1 categoría de la primera mano jugada contiene un color,14,1,4,2,0.9285714285714286,72.7825144609373,True,True,"Counter({'det': 4, 'case': 2, 'nmod': 2, 'amod': 2, 'nsubj': 1, 'nummod': 1, 'ROOT': 1, 'obj': 1})"
Cuando se consideran figuras jugadas con figuras jugadas con un par dan +20 Multiplicador X2 Multi y las probabilidades ejemplo 1 categoría de 1 cuando anotan,26,3,6,2,0.8076923076923077,124.42596260108124,True,True,"Counter({'nsubj': 3, 'case': 3, 'mark': 2, 'advcl': 2, 'amod': 2, 'nmod': 2, 'det': 2, 'nummod': 2, 'expl:pass': 1, 'obl': 1, 'ROOT': 1, 'obj': 1, 'flat': 1, 'cc': 1, 'conj': 1, 'appos': 1})"
Hay una carta de venta a Mult por cada uno un multiplicador si tu mano una carta del comodín gana +3 de figura,23,1,8,0,0.8695652173913043,77.05129900303406,True,True,"Counter({'det': 5, 'case': 5, 'nmod': 5, 'obj': 4, 'ROOT': 1, 'mark': 1, 'obl': 1, 'advcl': 1})"
Las cartas de multiplicador por descarte si la Ciega crea 2 jugado anota,13,2,3,1,1.0,98.53690734241539,True,True,"Counter({'det': 2, 'nsubj': 2, 'case': 2, 'nmod': 2, 'mark': 1, 'acl': 1, 'nummod': 1, 'obj': 1, 'ROOT': 1})"
+4 multiplicador por cada 6 5 fichas si la mano jugada,11,0,3,2,1.0,61.24445241416979,False,True,"Counter({'ROOT': 2, 'obj': 2, 'nummod': 2, 'case': 1, 'nmod': 1, 'mark': 1, 'det': 1, 'amod': 1})"
Reactiva todas las escaleras con figuras jugadas en la ronda por cada carta de mano de la Ciega se ha jugado otorga X1.5 Mult por cada carta de la ronda,30,2,7,2,0.7333333333333333,62.13546071569715,True,True,"Counter({'det': 7, 'case': 7, 'nmod': 5, 'nsubj': 3, 'obl': 2, 'amod': 1, 'expl:pass': 1, 'aux': 1, 'ROOT': 1, 'obj': 1, 'flat': 1})"
Este comodín al abrir cualquier otro palo que tengas,9,2,2,0,1.0,110.61377376020727,True,True,"Counter({'det': 3, 'ROOT': 1, 'case': 1, 'acl': 1, 'obj': 1, 'nsubj': 1, 'ccomp': 1})"
Cada categoría descartado la ronda,5,0,2,1,1.0,72.45253435489033,False,True,"Counter({'det': 2, 'ROOT': 1, 'amod': 1, 'appos': 1})"
Las cartas jugadas con el valor de tamaño de venta a la mano una puntuación,15,0,6,1,0.9333333333333333,72.57308452619654,False,True,"Counter({'det': 4, 'case': 4, 'nmod': 4, 'ROOT': 2, 'amod': 1})"
Todas las cartas jugadas durante las próximas 10 manos y crea una deuda de figura en 1,17,1,4,2,0.9411764705882353,131.95248166911804,True,True,"Counter({'det': 4, 'case': 3, 'amod': 2, 'nummod': 2, 'nmod': 2, 'ROOT': 1, 'cc': 1, 'conj': 1, 'obj': 1})"
Los comodines comunes,3,0,1,1,1.0,168.9074305039974,False,True,"Counter({'det': 1, 'ROOT': 1, 'amod': 1})"
Multiplicador X1 Multi cada 5 que esta tarjeta Planeta única utilizada en la baraja,14,0,2,2,1.0,127.80146398942392,False,True,"Counter({'det': 3, 'flat': 2, 'appos': 2, 'amod': 2, 'ROOT': 1, 'nummod': 1, 'compound': 1, 'case': 1, 'nmod': 1})"
Este comodín gana +3 de color,6,1,3,0,1.0,58.40351123481106,True,True,"Counter({'det': 1, 'nsubj': 1, 'ROOT': 1, 'obj': 1, 'case': 1, 'nmod': 1})"
Multiplica por cada mano de 1 de figura,8,0,3,0,0.875,66.75851622037048,False,True,"Counter({'case': 3, 'ROOT': 1, 'det': 1, 'obl': 1, 'nummod': 1, 'nmod': 1})"
Multiplicador si la primera carta sea destruida al mazo y destruye un color,13,2,3,1,1.0,101.41617001761749,True,True,"Counter({'det': 2, 'obj': 2, 'ROOT': 1, 'mark': 1, 'amod': 1, 'nsubj': 1, 'aux': 1, 'advcl': 1, 'case': 1, 'cc': 1, 'conj': 1})"
